id;front_content;back_content;front_sound_file_path
1;television;din6 si6;1917
2;soccer ball/soccer;zuk1 kau4;572
3;living room;haak3 teng1;435
4;Asia;aa3 zau1;3431
5;to walk/to leave;zau2;2046
6;stubbornly/relentlessly;ngaang6 hai6;3053
7;to take away/to take out/to bring over;ling1;486
8;mirror/lens;geng3;2773
9;intelligent/smart;cung1 ming4;389
10;academic degree/diploma;hok6 wai2;3110
11;Do you have an English menu?;nei5 dei6 jau5 mou5 jing1 man4 caan1 paai4 aa1?;1677
12;to lend/to borrow/to take an opportunity;ze3;2345
13;(coll.) maternal grandfather;lou5 je4;2353
14;classifier for birds and certain animals/one of a pair/some utensils/vessels;zek3;2700
15;Pu'er tea;pou2 lei5;3005
16;temperament/disposition;pei4 hei3;1933
17;bread;min6 baau1;692
18;certainly/definitely;jat1 sat6;1618
19;loss of face/pardon me/excuse me;sat1 lai5;1495
20;towel;mou4 gan1;3420
21;eye;ngaan5;2884
22;lake;wu4;465
23;performance/to perform;biu2 jin2;2352
24;as one wishes/as one pleases/casual/careless;ceoi4 bin6;2764
25;to conduct oneself/to behave with integrity;zou6 jan4;1345
26;to lift/to hold up/to raise;geoi2;2339
27;son;zai2;535
28;ordinarily/usually;ping4 si4;408
29;chair;dang3;1692
30;genuine/real;zan1 zing3;978
31;important/significant/major;zung6 jiu3;1160
32;to reserve/to agreeto subscribe;deng6;2169
33;I would like to order;ngo5 soeng2 giu3;261
34;singing star/famous singer;go1 sing1;1078
35;(point in) time/moment;si4 hau6;1179
36;office;baan6 gung1 sat1;1625
37;homework;gung1 fo3;1574
38;paperclassifier for documents, letter etc;zi2;905
39;small/young;sai3;2820
40;Can you help me translate it?;nei5 hak1 m4 hak1 ji5 bong1 ngo5 faan1 jik6 aa1?;2955
41;pig;zyu1;71
42;to learn/to study;hok6;3410
43;to understand;ming bak;1316
44;young lady/miss;siu je;2426
45;(of a child) obedient, well-behaved;gwaai1;2666
46;thing/matter;je5;2244
47;go down/descend/down/downward/carrying on an action/keeping a condition unchanged;laai6 heoi2;1070
48;Mandarin;pou2 tung1 waa2;2380
49;freezer/deep freeze;bing1 gwai6;3031
50;sheep/goat;joeng4;91
51;cup/classifier for containers of liquids: glass/cup;bui1;3016
